"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","LANDCOVER","VEGEGAIN2004","PC","A","2019",0.7495120393,
"AUS","LANDCOVER","VEGELOSS2004","PC","A","2019",0.267547321,
"AUT","LANDCOVER","VEGEGAIN2004","PC","A","2019",0.4993450892,
"AUT","LANDCOVER","VEGELOSS2004","PC","A","2019",0.8336292464,
"BEL","LANDCOVER","VEGEGAIN2004","PC","A","2019",0.9662422488,
"BEL","LANDCOVER","VEGELOSS2004","PC","A","2019",0.6221196602,
"CAN","LANDCOVER","VEGEGAIN2004","PC","A","2019",0.1735452178,
"CAN","LANDCOVER","VEGELOSS2004","PC","A","2019",0.3623113825,
"CZE","LANDCOVER","VEGEGAIN2004","PC","A","2019",1.3446838915,
"CZE","LANDCOVER","VEGELOSS2004","PC","A","2019",1.1294647622,
"DNK","LANDCOVER","VEGEGAIN2004","PC","A","2019",4.7809561912,
"DNK","LANDCOVER","VEGELOSS2004","PC","A","2019",2.0717186916,
"FIN","LANDCOVER","VEGEGAIN2004","PC","A","2019",0.1548114662,
"FIN","LANDCOVER","VEGELOSS2004","PC","A","2019",1.6596980895,
"FRA","LANDCOVER","VEGEGAIN2004","PC","A","2019",1.4027417405,
"FRA","LANDCOVER","VEGELOSS2004","PC","A","2019",0.6726329418,
"DEU","LANDCOVER","VEGEGAIN2004","PC","A","2019",1.595215531,
"DEU","LANDCOVER","VEGELOSS2004","PC","A","2019",0.7369163782,
"GRC","LANDCOVER","VEGEGAIN2004","PC","A","2019",2.5931718797,
"GRC","LANDCOVER","VEGELOSS2004","PC","A","2019",0.4870849368,
"HUN","LANDCOVER","VEGEGAIN2004","PC","A","2019",2.5425219848,
"HUN","LANDCOVER","VEGELOSS2004","PC","A","2019",0.9763182055,
"ISL","LANDCOVER","VEGEGAIN2004","PC","A","2019",0,
"ISL","LANDCOVER","VEGELOSS2004","PC","A","2019",0,
"IRL","LANDCOVER","VEGEGAIN2004","PC","A","2019",0.1529405555,
"IRL","LANDCOVER","VEGELOSS2004","PC","A","2019",0.2258292344,
"ITA","LANDCOVER","VEGEGAIN2004","PC","A","2019",1.9019478413,
"ITA","LANDCOVER","VEGELOSS2004","PC","A","2019",1.0749329083,
"JPN","LANDCOVER","VEGEGAIN2004","PC","A","2019",0.6947855366,
"JPN","LANDCOVER","VEGELOSS2004","PC","A","2019",1.2329599562,
"KOR","LANDCOVER","VEGEGAIN2004","PC","A","2019",1.6404839679,
"KOR","LANDCOVER","VEGELOSS2004","PC","A","2019",7.0395862332,
"LUX","LANDCOVER","VEGEGAIN2004","PC","A","2019",1.298500541,
"LUX","LANDCOVER","VEGELOSS2004","PC","A","2019",0.613180811,
"MEX","LANDCOVER","VEGEGAIN2004","PC","A","2019",0.4634782137,
"MEX","LANDCOVER","VEGELOSS2004","PC","A","2019",0.8715291396,
"NLD","LANDCOVER","VEGEGAIN2004","PC","A","2019",1.9388505352,
"NLD","LANDCOVER","VEGELOSS2004","PC","A","2019",0.6698368138,
"NZL","LANDCOVER","VEGEGAIN2004","PC","A","2019",0.3625605421,
"NZL","LANDCOVER","VEGELOSS2004","PC","A","2019",0.3495494636,
"NOR","LANDCOVER","VEGEGAIN2004","PC","A","2019",0.4404952858,
"NOR","LANDCOVER","VEGELOSS2004","PC","A","2019",1.3297987062,
"PRT","LANDCOVER","VEGEGAIN2004","PC","A","2019",5.7039057863,
"PRT","LANDCOVER","VEGELOSS2004","PC","A","2019",2.8572699132,
"SVK","LANDCOVER","VEGEGAIN2004","PC","A","2019",0.963821042,
"SVK","LANDCOVER","VEGELOSS2004","PC","A","2019",1.2251910946,
"ESP","LANDCOVER","VEGEGAIN2004","PC","A","2019",2.2271681408,
"ESP","LANDCOVER","VEGELOSS2004","PC","A","2019",0.9687234806,
"SWE","LANDCOVER","VEGEGAIN2004","PC","A","2019",0.1721993626,
"SWE","LANDCOVER","VEGELOSS2004","PC","A","2019",2.2475584806,
"CHE","LANDCOVER","VEGEGAIN2004","PC","A","2019",0.4806593143,
"CHE","LANDCOVER","VEGELOSS2004","PC","A","2019",0.8018246546,
"TUR","LANDCOVER","VEGEGAIN2004","PC","A","2019",4.3730730626,
"TUR","LANDCOVER","VEGELOSS2004","PC","A","2019",1.6045137412,
"GBR","LANDCOVER","VEGEGAIN2004","PC","A","2019",1.2505631056,
"GBR","LANDCOVER","VEGELOSS2004","PC","A","2019",0.2677063449,
"USA","LANDCOVER","VEGEGAIN2004","PC","A","2019",0.2747828407,
"USA","LANDCOVER","VEGELOSS2004","PC","A","2019",1.0203887296,
"CHL","LANDCOVER","VEGEGAIN2004","PC","A","2019",2.7953199495,
"CHL","LANDCOVER","VEGELOSS2004","PC","A","2019",0.7835466756,
"COL","LANDCOVER","VEGEGAIN2004","PC","A","2019",0.8577937498,
"COL","LANDCOVER","VEGELOSS2004","PC","A","2019",0.524867921,
"CRI","LANDCOVER","VEGEGAIN2004","PC","A","2019",6.0288539885,
"CRI","LANDCOVER","VEGELOSS2004","PC","A","2019",1.1290786621,
"EST","LANDCOVER","VEGEGAIN2004","PC","A","2019",1.1356864515,
"EST","LANDCOVER","VEGELOSS2004","PC","A","2019",2.4812946482,
"ISR","LANDCOVER","VEGEGAIN2004","PC","A","2019",8.1511046152,
"ISR","LANDCOVER","VEGELOSS2004","PC","A","2019",5.9587385463,
"LVA","LANDCOVER","VEGEGAIN2004","PC","A","2019",1.7034347455,
"LVA","LANDCOVER","VEGELOSS2004","PC","A","2019",1.9006838439,
"LTU","LANDCOVER","VEGEGAIN2004","PC","A","2019",4.5063073027,
"LTU","LANDCOVER","VEGELOSS2004","PC","A","2019",0.7607257752,
"SVN","LANDCOVER","VEGEGAIN2004","PC","A","2019",0.5044115913,
"SVN","LANDCOVER","VEGELOSS2004","PC","A","2019",2.4829271953,
