"","Country","Code","total_endemic_species","total_endemic_mammals","total_endemic_birds","total_endemic_amphibians","percentage_forest","continent"
"1","Indonesia","IDN",1033,295,525,213,49.0717803654717,"Asia"
"2","Brazil","BRA",1005,203,254,548,59.4174780513368,"America"
"3","Australia","AUS",823,255,359,209,17.4213145571644,"Oceania"
"4","Madagascar","MDG",644,213,119,312,21.3644035751117,"Africa"
"5","Mexico","MEX",556,152,120,284,33.7930913860953,"America"
"6","Colombia","COL",511,45,93,373,53.3050112663362,"America"
"7","Peru","PER",492,57,134,301,56.5081015625,"America"
"8","Papua New Guinea","PNG",489,83,114,292,79.1762575630438,"Oceania"
"9","Philippines","PHL",485,133,259,93,24.1090317604051,"Asia"
"10","China","CHN",412,88,70,254,23.4313229039402,"Asia"
"11","United States","USA",364,104,77,183,33.8669264120375,"America"
"12","India","IND",295,54,74,167,24.270228273336,"Asia"
"13","Venezuela","VEN",263,28,52,183,52.4130151351964,"America"
"14","Ecuador","ECU",238,33,42,163,50.3214285714286,"America"
"15","Sri Lanka","LKA",154,18,31,105,34.1398865784499,"Asia"
